総合NO,弾NO,販売日,呼称,略称,コレクションナンバー,大分類,小分類,カード名,レアリティ,A,B
35,35,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],012/023,トレーナーズ,グッズ,きずぐすり,ミラー仕様,,
36,36,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],013/023,トレーナーズ,グッズ,クイックボール,ミラー仕様,,
37,37,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],014/023,トレーナーズ,グッズ,スーパーボール,ミラー仕様,,
38,38,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],015/023,トレーナーズ,グッズ,ポケギア3.0,ミラー仕様,,
39,39,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],016/023,トレーナーズ,グッズ,ポケモンいれかえ,ミラー仕様,,
40,40,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],017/023,トレーナーズ,グッズ,ポケモンキャッチャー,ミラー仕様,,
41,41,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],018/023,トレーナーズ,グッズ,大きなおまもり,ミラー仕様,,
42,42,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],019/023,トレーナーズ,サポート,博士の研究 マグノリア博士,ミラー仕様,,
43,43,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],020/023,トレーナーズ,サポート,ポケモンごっこ,ミラー仕様,,
44,44,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],021/023,トレーナーズ,サポート,ポケモンセンターのお姉さん,ミラー仕様,,
45,45,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],022/023,トレーナーズ,サポート,ホップ,ミラー仕様,,
46,46,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],023/023,トレーナーズ,サポート,マリィ,ミラー仕様,,
47,47,2019年11月29日,ソード&シールド スターターセットV草,SA[緑],-,エネルギー,草,基本草エネルギー,ミラー仕様,,
48,48,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],001/023,ポケモン,炎,ロコン,,,
49,49,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],002/023,ポケモン,炎,キュウコン,,,
50,50,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],003/023,ポケモン,炎,ビクティニV,RR,,
51,51,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],004/023,ポケモン,炎,クイタラン,,,
52,52,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],005/023,ポケモン,炎,バクガメス,,,
53,53,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],006/023,ポケモン,炎,ヒバニー,R,,
54,54,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],007/023,ポケモン,炎,ラビフット,R,,
55,55,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],008/023,ポケモン,炎,エースバーン,R,,
56,56,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],009/023,ポケモン,炎,ヤクデ,,,
57,57,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],010/023,ポケモン,炎,チラーミィ,,,
58,58,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],011/023,トレーナーズ,グッズ,エネルギー転送,,,
59,59,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],012/023,トレーナーズ,グッズ,クラッシュハンマー,,,
60,60,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],013/023,トレーナーズ,グッズ,しんかのおこう,,,
61,61,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],014/023,トレーナーズ,グッズ,スーパーボール,,,
62,62,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],015/023,トレーナーズ,グッズ,ふしぎなアメ,,,
63,63,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],016/023,トレーナーズ,グッズ,ポケギア3.0,,,
64,64,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],017/023,トレーナーズ,グッズ,ポケモンいれかえ,,,
65,65,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],018/023,トレーナーズ,グッズ,ポケモンキャッチャー,,,
66,66,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],019/023,トレーナーズ,グッズ,げんきのハチマキ,,,
67,67,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],020/023,トレーナーズ,サポート,博士の研究 マグノリア博士,,,
68,68,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],021/023,トレーナーズ,サポート,ポケモンごっこ,,,
69,69,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],022/023,トレーナーズ,サポート,ホップ,,,
70,70,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],023/023,トレーナーズ,サポート,マリィ,,,
71,71,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],-,エネルギー,炎,基本炎エネルギー,,,
72,72,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],001/023,ポケモン,炎,ロコン,ミラー仕様,,
73,73,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],002/023,ポケモン,炎,キュウコン,ミラー仕様,,
74,74,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],004/023,ポケモン,炎,クイタラン,ミラー仕様,,
75,75,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],005/023,ポケモン,炎,バクガメス,ミラー仕様,,
76,76,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],006/023,ポケモン,炎,ヒバニー,ミラー仕様,,
77,77,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],007/023,ポケモン,炎,ラビフット,ミラー仕様,,
78,78,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],008/023,ポケモン,炎,エースバーン,ミラー仕様,,
79,79,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],009/023,ポケモン,炎,ヤクデ,ミラー仕様,,
80,80,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],010/023,ポケモン,炎,チラーミィ,ミラー仕様,,
81,81,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],011/023,トレーナーズ,グッズ,エネルギー転送,ミラー仕様,,
82,82,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],012/023,トレーナーズ,グッズ,クラッシュハンマー,ミラー仕様,,
83,83,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],013/023,トレーナーズ,グッズ,しんかのおこう,ミラー仕様,,
84,84,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],014/023,トレーナーズ,グッズ,スーパーボール,ミラー仕様,,
85,85,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],015/023,トレーナーズ,グッズ,ふしぎなアメ,ミラー仕様,,
86,86,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],016/023,トレーナーズ,グッズ,ポケギア3.0,ミラー仕様,,
87,87,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],017/023,トレーナーズ,グッズ,ポケモンいれかえ,ミラー仕様,,
88,88,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],018/023,トレーナーズ,グッズ,ポケモンキャッチャー,ミラー仕様,,
89,89,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],019/023,トレーナーズ,グッズ,げんきのハチマキ,ミラー仕様,,
90,90,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],020/023,トレーナーズ,サポート,博士の研究 マグノリア博士,ミラー仕様,,
91,91,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],021/023,トレーナーズ,サポート,ポケモンごっこ,ミラー仕様,,
92,92,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],022/023,トレーナーズ,サポート,ホップ,ミラー仕様,,
93,93,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],023/023,トレーナーズ,サポート,マリィ,ミラー仕様,,
94,94,2019年11月29日,ソード&シールド スターターセットV炎,SA[赤],-,エネルギー,炎,基本炎エネルギー,ミラー仕様,,
95,95,2019年11月29日,ソード&シールド スターターセットV水,SA[青],001/023,ポケモン,水,シェルダー,,,
96,96,2019年11月29日,ソード&シールド スターターセットV水,SA[青],002/023,ポケモン,水,パルシェン,,,
97,97,2019年11月29日,ソード&シールド スターターセットV水,SA[青],003/023,ポケモン,水,クラブ,,,
98,98,2019年11月29日,ソード&シールド スターターセットV水,SA[青],004/023,ポケモン,水,トサキント,,,
99,99,2019年11月29日,ソード&シールド スターターセットV水,SA[青],005/023,ポケモン,水,ラプラス,,,
100,100,2019年11月29日,ソード&シールド スターターセットV水,SA[青],006/023,ポケモン,水,ケルディオV,RR,,
101,101,2019年11月29日,ソード&シールド スターターセットV水,SA[青],007/023,ポケモン,水,メッソン,R,,
102,102,2019年11月29日,ソード&シールド スターターセットV水,SA[青],008/023,ポケモン,水,ジメレオン,R,,
103,103,2019年11月29日,ソード&シールド スターターセットV水,SA[青],009/023,ポケモン,水,インテレオン,R,,
104,104,2019年11月29日,ソード&シールド スターターセットV水,SA[青],010/023,ポケモン,水,ウッウ,,,
105,105,2019年11月29日,ソード&シールド スターターセットV水,SA[青],011/023,トレーナーズ,グッズ,エネルギーつけかえ,,,
106,106,2019年11月29日,ソード&シールド スターターセットV水,SA[青],012/023,トレーナーズ,グッズ,エネルギー転送,,,
107,107,2019年11月29日,ソード&シールド スターターセットV水,SA[青],013/023,トレーナーズ,グッズ,クラッシュハンマー,,,
108,108,2019年11月29日,ソード&シールド スターターセットV水,SA[青],014/023,トレーナーズ,グッズ,しんかのおこう,,,
109,109,2019年11月29日,ソード&シールド スターターセットV水,SA[青],015/023,トレーナーズ,グッズ,スーパーボール,,,
110,110,2019年11月29日,ソード&シールド スターターセットV水,SA[青],016/023,トレーナーズ,グッズ,ポケギア3.0,,,
111,111,2019年11月29日,ソード&シールド スターターセットV水,SA[青],017/023,トレーナーズ,グッズ,ポケモンいれかえ,,,
112,112,2019年11月29日,ソード&シールド スターターセットV水,SA[青],018/023,トレーナーズ,グッズ,ポケモンキャッチャー,,,
113,113,2019年11月29日,ソード&シールド スターターセットV水,SA[青],019/023,トレーナーズ,サポート,エール団のしたっぱ,,,
114,114,2019年11月29日,ソード&シールド スターターセットV水,SA[青],020/023,トレーナーズ,サポート,博士の研究 マグノリア博士,,,
115,115,2019年11月29日,ソード&シールド スターターセットV水,SA[青],021/023,トレーナーズ,サポート,ポケモンごっこ,,,
116,116,2019年11月29日,ソード&シールド スターターセットV水,SA[青],022/023,トレーナーズ,サポート,ホップ,,,
117,117,2019年11月29日,ソード&シールド スターターセットV水,SA[青],023/023,トレーナーズ,サポート,マリィ,,,
118,118,2019年11月29日,ソード&シールド スターターセットV水,SA[青],-,エネルギー,水,基本水エネルギー,,,
119,119,2019年11月29日,ソード&シールド スターターセットV水,SA[青],001/023,ポケモン,水,シェルダー,ミラー仕様,,
120,120,2019年11月29日,ソード&シールド スターターセットV水,SA[青],002/023,ポケモン,水,パルシェン,ミラー仕様,,
121,121,2019年11月29日,ソード&シールド スターターセットV水,SA[青],003/023,ポケモン,水,クラブ,ミラー仕様,,
122,122,2019年11月29日,ソード&シールド スターターセットV水,SA[青],004/023,ポケモン,水,トサキント,ミラー仕様,,
123,123,2019年11月29日,ソード&シールド スターターセットV水,SA[青],005/023,ポケモン,水,ラプラス,ミラー仕様,,
124,124,2019年11月29日,ソード&シールド スターターセットV水,SA[青],007/023,ポケモン,水,メッソン,ミラー仕様,,
125,125,2019年11月29日,ソード&シールド スターターセットV水,SA[青],008/023,ポケモン,水,ジメレオン,ミラー仕様,,
126,126,2019年11月29日,ソード&シールド スターターセットV水,SA[青],009/023,ポケモン,水,インテレオン,ミラー仕様,,
127,127,2019年11月29日,ソード&シールド スターターセットV水,SA[青],010/023,ポケモン,水,ウッウ,ミラー仕様,,
128,128,2019年11月29日,ソード&シールド スターターセットV水,SA[青],011/023,トレーナーズ,グッズ,エネルギーつけかえ,ミラー仕様,,
129,129,2019年11月29日,ソード&シールド スターターセットV水,SA[青],012/023,トレーナーズ,グッズ,エネルギー転送,ミラー仕様,,
130,130,2019年11月29日,ソード&シールド スターターセットV水,SA[青],013/023,トレーナーズ,グッズ,クラッシュハンマー,ミラー仕様,,
131,131,2019年11月29日,ソード&シールド スターターセットV水,SA[青],014/023,トレーナーズ,グッズ,しんかのおこう,ミラー仕様,,
132,132,2019年11月29日,ソード&シールド スターターセットV水,SA[青],015/023,トレーナーズ,グッズ,スーパーボール,ミラー仕様,,
133,133,2019年11月29日,ソード&シールド スターターセットV水,SA[青],016/023,トレーナーズ,グッズ,ポケギア3.0,ミラー仕様,,
134,134,2019年11月29日,ソード&シールド スターターセットV水,SA[青],017/023,トレーナーズ,グッズ,ポケモンいれかえ,ミラー仕様,,
135,135,2019年11月29日,ソード&シールド スターターセットV水,SA[青],018/023,トレーナーズ,グッズ,ポケモンキャッチャー,ミラー仕様,,
136,136,2019年11月29日,ソード&シールド スターターセットV水,SA[青],019/023,トレーナーズ,サポート,エール団のしたっぱ,ミラー仕様,,
137,137,2019年11月29日,ソード&シールド スターターセットV水,SA[青],020/023,トレーナーズ,サポート,博士の研究 マグノリア博士,ミラー仕様,,
138,138,2019年11月29日,ソード&シールド スターターセットV水,SA[青],021/023,トレーナーズ,サポート,ポケモンごっこ,ミラー仕様,,
139,139,2019年11月29日,ソード&シールド スターターセットV水,SA[青],022/023,トレーナーズ,サポート,ホップ,ミラー仕様,,
140,140,2019年11月29日,ソード&シールド スターターセットV水,SA[青],023/023,トレーナーズ,サポート,マリィ,ミラー仕様,,
141,141,2019年11月29日,ソード&シールド スターターセットV水,SA[青],-,エネルギー,水,基本水エネルギー,ミラー仕様,,
142,142,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],001/024,ポケモン,雷,ピカチュウ,,,
143,143,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],002/024,ポケモン,雷,ライチュウ,,,
144,144,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],003/024,ポケモン,雷,チョンチー,,,
145,145,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],004/024,ポケモン,雷,バチュル,,,
146,146,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],005/024,ポケモン,雷,デンチュラ,,,
147,147,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],006/024,ポケモン,雷,カプ・コケコV,RR,,
148,148,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],007/024,ポケモン,雷,ワンパチ,R,,
149,149,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],008/024,ポケモン,雷,パルスワン,R,,
150,150,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],009/024,ポケモン,雷,モルペコ,R,,
151,151,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],010/024,ポケモン,無,ジジーロン,,,
152,152,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],011/024,ポケモン,無,ウールー,,,
153,153,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],012/024,トレーナーズ,グッズ,エネルギー回収,,,
154,154,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],013/024,トレーナーズ,グッズ,エネルギー転送,,,
155,155,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],014/024,トレーナーズ,グッズ,スーパーボール,,,
156,156,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],015/024,トレーナーズ,グッズ,ポケギア3.0,,,
157,157,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],016/024,トレーナーズ,グッズ,ポケモンいれかえ,,,
158,158,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],017/024,トレーナーズ,グッズ,ポケモンキャッチャー,,,
159,159,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],018/024,トレーナーズ,グッズ,ロトムじてんしゃ,,,
160,160,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],019/024,トレーナーズ,グッズ,げんきのハチマキ,,,
161,161,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],020/024,トレーナーズ,サポート,博士の研究 マグノリア博士,,,
162,162,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],021/024,トレーナーズ,サポート,ビート,,,
163,163,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],021/024,トレーナーズ,サポート,ポケモンごっこ,,,
164,164,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],022/024,トレーナーズ,サポート,ホップ,,,
165,165,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],024/024,トレーナーズ,サポート,マリィ,,,
166,166,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],-,エネルギー,雷,基本雷エネルギー,,,
167,167,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],001/024,ポケモン,雷,ピカチュウ,ミラー仕様,,
168,168,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],002/024,ポケモン,雷,ライチュウ,ミラー仕様,,
169,169,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],003/024,ポケモン,雷,チョンチー,ミラー仕様,,
170,170,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],004/024,ポケモン,雷,バチュル,ミラー仕様,,
171,171,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],005/024,ポケモン,雷,デンチュラ,ミラー仕様,,
172,172,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],007/024,ポケモン,雷,ワンパチ,ミラー仕様,,
173,173,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],008/024,ポケモン,雷,パルスワン,ミラー仕様,,
174,174,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],010/024,ポケモン,無,ジジーロン,ミラー仕様,,
175,175,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],011/024,ポケモン,無,ウールー,ミラー仕様,,
176,176,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],012/024,トレーナーズ,グッズ,エネルギー回収,ミラー仕様,,
177,177,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],013/024,トレーナーズ,グッズ,エネルギー転送,ミラー仕様,,
178,178,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],014/024,トレーナーズ,グッズ,スーパーボール,ミラー仕様,,
179,179,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],015/024,トレーナーズ,グッズ,ポケギア3.0,ミラー仕様,,
180,180,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],016/024,トレーナーズ,グッズ,ポケモンいれかえ,ミラー仕様,,
181,181,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],017/024,トレーナーズ,グッズ,ポケモンキャッチャー,ミラー仕様,,
182,182,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],018/024,トレーナーズ,グッズ,ロトムじてんしゃ,ミラー仕様,,
183,183,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],019/024,トレーナーズ,グッズ,げんきのハチマキ,ミラー仕様,,
184,184,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],020/024,トレーナーズ,サポート,博士の研究 マグノリア博士,ミラー仕様,,
185,185,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],021/024,トレーナーズ,サポート,ビート,ミラー仕様,,
186,186,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],021/024,トレーナーズ,サポート,ポケモンごっこ,ミラー仕様,,
187,187,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],022/024,トレーナーズ,サポート,ホップ,ミラー仕様,,
188,188,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],024/024,トレーナーズ,サポート,マリィ,ミラー仕様,,
189,189,2019年11月29日,ソード&シールド スターターセットV雷,SA[黄],-,エネルギー,雷,基本雷エネルギー,ミラー仕様,,
190,190,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],001/024,ポケモン,闘,ディグダ,,,
191,191,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],002/024,ポケモン,闘,ダグトリオ,,,
192,192,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],003/024,ポケモン,闘,サイホーン,,,
193,193,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],004/024,ポケモン,闘,ヤジロン,,,
194,194,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],005/024,ポケモン,闘,レジロックV,RR,,
195,195,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],006/024,ポケモン,闘,ドロバンコ,,,
196,196,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],007/024,ポケモン,闘,バンバドロ,,,
197,197,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],008/024,ポケモン,闘,スナヘビ,R,,
198,198,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],009/024,ポケモン,闘,サダイジャ,R,,
199,199,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],010/024,ポケモン,闘,タタッコ,,,
200,200,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],011/024,ポケモン,闘,イシヘンジン,R,,
201,201,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],012/024,トレーナーズ,グッズ,エネルギー転送,,,
202,202,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],013/024,トレーナーズ,グッズ,クイックボール,,,
203,203,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],014/024,トレーナーズ,グッズ,スーパーボール,,,
204,204,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],015/024,トレーナーズ,グッズ,ともだちてちょう,,,
205,205,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],016/024,トレーナーズ,グッズ,ポケギア3.0,,,
206,206,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],017/024,トレーナーズ,グッズ,ポケモンいれかえ,,,
207,207,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],018/024,トレーナーズ,グッズ,ポケモンキャッチャー,,,
208,208,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],019/024,トレーナーズ,グッズ,オボンのみ,,,
209,209,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],020/024,トレーナーズ,サポート,博士の研究 マグノリア博士,,,
210,210,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],021/024,トレーナーズ,サポート,ポケモンごっこ,,,
211,211,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],022/024,トレーナーズ,サポート,ポケモンセンターのお姉さん,,,
212,212,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],023/024,トレーナーズ,サポート,ホップ,,,
213,213,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],024/024,トレーナーズ,サポート,マリィ,,,
214,214,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],-,エネルギー,闘,基本闘エネルギー,,,
215,215,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],001/024,ポケモン,闘,ディグダ,ミラー仕様,,
216,216,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],002/024,ポケモン,闘,ダグトリオ,ミラー仕様,,
217,217,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],003/024,ポケモン,闘,サイホーン,ミラー仕様,,
218,218,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],004/024,ポケモン,闘,ヤジロン,ミラー仕様,,
219,219,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],006/024,ポケモン,闘,ドロバンコ,ミラー仕様,,
220,220,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],007/024,ポケモン,闘,バンバドロ,ミラー仕様,,
221,221,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],008/024,ポケモン,闘,スナヘビ,ミラー仕様,,
222,222,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],009/024,ポケモン,闘,サダイジャ,ミラー仕様,,
223,223,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],010/024,ポケモン,闘,タタッコ,ミラー仕様,,
