No3-,レアリティ,色,名称（上部）,レベル,パワー,特性,遺業能力,収録
27,R,緑,小野小町,3,1000,,木霊（自分の手札か墓地の、これより低いレベルを持つイジン1体を戦場に置く）,第3弾ブースター
28,N,緑,松尾芭蕉,3,1000,,1ドローする。,第3弾ブースター
29,N,緑,朱舜水,4,3000,,木霊（自分の手札か墓地の、これより低いレベルを持つイジン1体を戦場に置く）,第3弾ブースター
30,N,緑,井原西鶴,2,1000,,-,第3弾ブースター
31,R,緑,近松門左衛門,9,7000,,-,第3弾ブースター
32,N,緑,田沼意次,1,1000,,-,第3弾ブースター
33,N,緑,高野長英,2,2000,特性：医術,1ドローする。,第3弾ブースター
34,N,緑,菱川師宣,6,5000,特性：美術,魔力化,第3弾ブースター
35,R,黄,徳川吉宗,5,1000,,反魂,第3弾ブースター
36,N,黄,雪舟,1,500,特性：美術,1ドローする。,第3弾ブースター
37,N,黄,俵屋宗達,6,5500,特性：美術,-,第3弾ブースター
38,N,黄,司馬炎,9,3000,,反魂,第3弾ブースター
39,N,黄,井伊直弼,8,7000,,魔力化,第3弾ブースター
40,N,黄,徳川家茂,3,2500,,-,第3弾ブースター
41,N,黄,松平定信,7,6000,,これを山札の上か下に戻す。,第3弾ブースター
42,R,黄,ルイス・キャロル,2,500,,-,第3弾ブースター
43,N,紫,芹沢鴨,1,500,特性：志願,1ドローする。,第3弾ブースター
44,N,紫,本居宣長,4,3500,特性：医術,木霊（自分の手札か墓地の、これより低いレベルを持つイジン1体を戦場に置く）,第3弾ブースター
45,R,紫,坂本龍馬,3,3000,,-,第3弾ブースター
46,N,紫,近藤勇,7,2000,特性：志願,-,第3弾ブースター
47,N,紫,徳川慶喜,1,1000,,-,第3弾ブースター
48,R,紫,マシュー・カルブレイス・ペリー,4,3500,,-,第3弾ブースター
49,N,紫,タウンゼント・ハリス,8,7500,,-,第3弾ブースター
50,N,紫,勝海舟,3,2000,,魔力化,第3弾ブースター
51,N,赤,炎上がる天守閣,3,-,,-,第3弾ブースター
52,N,赤,天下分け目の主戦場,1,-,,-,第3弾ブースター
53,N,青,永遠の帝都,4,-,,-,第3弾ブースター
54,N,青,暴風岬,5,-,,これを手札に戻す。,第3弾ブースター
55,N,緑,商館並ぶ人工島,3,-,,-,第3弾ブースター
56,N,緑,志士の藩校,5,-,,木霊（自分の手札か墓地の、これより低いレベルを持つイジン1体を戦場に置く）,第3弾ブースター
57,N,黄,風神雷神図,4,-,,これを山札の上か下に戻す。,第3弾ブースター
58,N,黄,茅葺き屋根の張出し舞台,3,-,,これを山札の上か下に戻す。,第3弾ブースター
59,N,紫,森閑たる離宮,2,-,,-,第3弾ブースター
60,N,紫,黒船,6,-,,-,第3弾ブースター
61,R,赤,サンダーボルト,6□□□,-,,魔力化,第3弾ブースター
62,N,赤,パイロオーラ,2□,-,,魔力化,第3弾ブースター
63,R,青,アイオン,10,-,,これを手札に戻す。,第3弾ブースター
64,N,青,ハイドロオーラ,2□,-,,魔力化,第3弾ブースター
65,N,緑,ソーサリー,5,-,,冥府発動,第3弾ブースター
66,N,緑,クロロオーラ,2□,-,,魔力化,第3弾ブースター
67,N,黄,パシフィック,2,-,,冥府発動,第3弾ブースター
68,R,黄,ジオオーラ,2□,-,,魔力化,第3弾ブースター
69,N,紫,コーザリティ,3,-,,冥府発動,第3弾ブースター
70,R,紫,エアロオーラ,2□,-,,魔力化,第3弾ブースター
71,N,赤,喜びの種,1,-,,魔力化,第3弾ブースター
72,N,青,怖れの種,1,-,,魔力化,第3弾ブースター
73,N,緑,怒りの種,1,-,,魔力化,第3弾ブースター
74,N,黄,苦しみの種,1,-,,魔力化,第3弾ブースター
75,N,紫,悲しみの種,1,-,,魔力化,第3弾ブースター
76,N,紫,ダンダラ羽織,1,-,,復元,第3弾ブースター
77,N,-,遁甲盤,0,-,,これを手札に戻す。,第3弾ブースター
78,N,-,ホムンクルス,1,-,,-,第3弾ブースター
79,N,-,ストーンマスク,1,-,,復元,第3弾ブースター
80,R,-,オブシディアン,3,-,,魔力化,第3弾ブースター
81,PSR,紫,土方歳三,6,5000,特性：志願,これを山札の上か下に戻す。,第3弾ブースター
P-1,SR,紫,マリ・キュリー,4,4000,,木霊（自分の手札か墓地の、これより低いレベルを持つイジン1体を戦場に置く）,発展する医学
P-2,N,紫,篤姫,1,1000,,魔力化,発展する医学
P-3,N,紫,李成桂,2,1000,,1ドローする。,発展する医学
P-4,N,紫,杉田玄白,4,4000,特性：医術,-,発展する医学
P-5,N,紫,渡辺崋山,2,500,特性：美術,-,発展する医学
P-6,N,紫,緒方洪庵,3,2500,特性：医術,木霊（自分の手札か墓地の、これより低いレベルを持つイジン1体を戦場に置く）,発展する医学
P-7,N,紫,岡田以蔵,5,2000,特性：剣術,-,発展する医学
P-8,N,紫,クララ・バートン,3,3000,特性：医術,-,発展する医学
P-9,N,紫,虎狼痢,6,-,,これを手札に戻す。,発展する医学
P-10,N,紫,浪士集う長屋,5,-,,-,発展する医学
P-11,N,紫,スピリットアウェイ,1□,-,,魔力化,発展する医学
P-12,N,紫,タイムディレイション,4,-,,冥府発動,発展する医学
P-13,N,紫,ハンドミラー,1,-,,-,発展する医学
P-14,N,紫,ブラックブレイド,1,-,,復元,発展する医学
P-15,N,紫,パープルオーブ,2,-,,復元,発展する医学
P-16,,28,パープルストーン,1,-,,復元,発展する医学
